Product Name,Slug,Primary Category,All Categories,Gender,Collection,Occasion,Material,Collection Route,Detected Problems
& Symbol Rose Gold Chain Necklace,symbol-rose-gold-chain-necklace,Everyday (everyday),Everyday; Necklaces; Office,Men,—,Everyday,Rose Gold,/collections/everyday,"Men's-only product inside general ""necklaces"" (not also in ""mens-necklace"") | Missing collection (pa_collection attribute empty store-wide)"
Aurielle Rose Gold Plated Sterling Silver Mangalsutra,aurielle-rose-gold-plated-sterling-silver-mangalsutra,Everyday (everyday),Everyday; Necklaces; Office,"Men, Women",—,"Festive, Wedding","925, Gold Plated, Rose Gold, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Aurora Glow Rose Gold Sterling Silver Mangalsutra,aurora-glow-rose-gold-sterling-silver-mangalsutra,Everyday (everyday),Everyday; Necklaces; Office; Party,"Men, Women",—,"Everyday, Festive, Wedding","925, Gold Plated, Rose Gold, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Avon Opulent Pearl Glow Silver Necklace,avon-opulent-pearl-glow-silver-necklace,Everyday (everyday),Everyday; Men's Necklace; Office,Men,—,Everyday,Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Black Metal Oxidised Silver payal,black-metal-oxidised-silver-payal,Anklets (anklets),Anklets,"Men, Women",—,"Everyday, Festive, Wedding",Silver,/collections/anklets,Missing collection (pa_collection attribute empty store-wide)
Blue stone Silver Ring,blue-stone-silver-ring,Men's Ring (mens-ring),Men's Ring; Office; Party,Men,—,Everyday Wear,Silver,— (none),Missing collection (pa_collection attribute empty store-wide) | No assigned category maps to a live /collections/* route (product is undiscoverable via browsing)
Bold Silver Double Link Chain Necklace,bold-silver-double-link-chain-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,"Casual, Everyday",Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Butterfly Bliss Gold Plated Sterling Silver Mangalsutra,butterfly-bliss-gold-plated-sterling-silver-mangalsutra,Everyday (everyday),Everyday; Necklaces; Office,"Men, Women",—,"Casual, Festive, Wedding","925, Gold Plated, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Cat Stud Earrings with Cubic Zirconia (CZ) Crystals,cat-stud-earrings-with-cubic-zirconia-cz-crystals,Earrings (earrings),Earrings; Everyday; Office; Rings,Women,—,Casual,"Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Celeste Rose Gold Mangalsutra Pendant Necklace,celeste-rose-gold-mangalsutra-pendant-necklace,Everyday (everyday),Everyday; Necklaces; Office,"Men, Women",—,"Festive, Wedding","925, Gold Plated, Rose Gold, Silver, Sterling Silver",/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Centurion Silver Bracelet,centurion-silver-bracelet,Bracelets (bracelets),Bracelets,Men,—,"Casual, Everyday, Party",Silver,/collections/bracelets,"Men's-only product inside general ""bracelets"" (not also in ""mens-bracelet"") | Missing collection (pa_collection attribute empty store-wide)"
Chimes green and silver-toned floral oxidized drop Earrings,chimes-green-and-silver-toned-floral-oxidized-drop-earrings,Earrings (earrings),Earrings; Everyday; Office; Party; Rings,"Men, Women",—,"Casual, Everyday, Festive",Silver,/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Classic Crystal Tennis Bracelet,classic-crystal-tennis-bracelet,Bracelets (bracelets),Bracelets; Everyday; Festive; Office; Party,"Men, Women",—,"Festive, Party, Wedding","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Classic Dual Bead Open Bracelet,classic-dual-bead-open-bracelet,Bracelets (bracelets),Bracelets; Everyday; Office,"Men, Women",—,"Casual, Everyday","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Classic Gold Rope Chain Necklace,classic-gold-rope-chain-necklace,Everyday (everyday),Everyday; Festive; Necklaces; Office,Women,—,"Casual, Festive",925 Sterling Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Classic Minimal Silver Open Cuff Bracelet,classic-minimal-silver-open-cuff-bracelet,Bracelets (bracelets),Bracelets; Everyday; Office,"Men, Women",—,"Casual, Everyday","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Classic Silver Ball Chain Necklace,classic-silver-ball-chain-necklace,Everyday (everyday),Everyday; Men's Necklace,Men,—,Casual,Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Classic Silver Curb Chain Necklace,classic-silver-curb-chain-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,"Casual, Everyday",Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
Classic Solitaire Crystal Stud Earrings,classic-solitaire-crystal-stud-earrings,Earrings (earrings),Earrings; Everyday; Office; Rings,Women,—,"Casual, Everyday","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Clover Stud Earrings,clover-stud-earrings,Everyday (everyday),Everyday; Men's Ring; Party,Men,—,"Everyday, Festive",Silver,/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
crystal halo pendant necklace,crystal-halo-pendant-necklace,Everyday (everyday),Everyday; Men's Necklace; Office; Party,Men,—,Everyday,925 Sterling Silver,/collections/everyday,Missing collection (pa_collection attribute empty store-wide)
"crystal solitaire, crystal pavé flower, and black enamel flower silver stud earrings",crystal-solitaire-crystal-pav-flower-and-black-enamel-flower-silver-stud-earrings,Everyday (everyday),Everyday; Men's Ring; Office; Party,Men,—,"Casual, Everyday",Silver,/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
cuban link bracelet,cuban-link-bracelet,Bracelets (bracelets),Bracelets,"Men, Unisex, Women",—,"Casual, Everyday, Party",Silver,/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Cubic Zirconia Classic Stud Earrings,cubic-zirconia-classic-stud-earrings,Earrings (earrings),Earrings; Everyday; Office; Party; Rings,Women,—,"Everyday, Party","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Cubic Zirconia Cuban Link Bracelet,cubic-zirconia-cuban-link-bracelet,Everyday (everyday),Everyday; Necklaces; Party,"Men, Women",—,"Casual, Everyday, Party",Silver,/collections/everyday,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Bracelet"" but product is not in any of: bracelets, mens-bracelet"
Cubic Zirconia silver-plated dangle drop earrings,cubic-zirconia-silver-plated-dangle-drop-earrings,Men's Necklace (mens-necklace),Men's Necklace,Men,—,"Festive, Wedding",Silver,/collections/mens-necklace,"Missing collection (pa_collection attribute empty store-wide) | Name suggests ""Earrings"" but product is not in any of: earrings"
Cute Elephant Charm Adjustable Bracelet,cute-elephant-charm-adjustable-bracelet,Bracelets (bracelets),Bracelets; Everyday; Office,"Men, Women",—,"Casual, Everyday","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Cute Smiley Face Stud Earrings,cute-smiley-face-stud-earrings,Earrings (earrings),Earrings; Everyday; Office; Rings,Women,—,"Casual, Everyday","Silver, Sterling Silver",/collections/earrings,Missing collection (pa_collection attribute empty store-wide)
Elegant Butterfly Crystal Bracelet,elegant-butterfly-crystal-bracelet,Bracelets (bracelets),Bracelets; Everyday; Festive; Party,"Men, Women",—,"Casual, Everyday, Festive, Party","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
Elegant Floral Crystal Open Bracelet,elegant-floral-crystal-open-bracelet,Bracelets (bracelets),Bracelets; Everyday; Office; Party,"Men, Women",—,"Festive, Party","Silver, Sterling Silver",/collections/bracelets,Missing collection (pa_collection attribute empty store-wide)
